Company,PriceRs.,Day HighRs.
Mazagon Dock Ship,2997.30,3170.00
ICICI Bank,1431.75,1446.25
Force Motors,10059.80,10200.00
Coromandel Interntl.,2250.40,2649.95
Godfrey Phillips,8360.10,8500.00
Guj. Natural Resourc,46.88,46.88
Colab Platforms,140.85,140.85
Privi Speciality Che,2049.20,2054.70
Bharti Hexacom Ltd.,1701.30,1731.75
Meghna Infracon Inf.,929.95,941.00
UPL,680.30,692.50
Desco Infratech,258.30,265.00
Navin Fluorine Intl,4549.20,4609.00
Paradeep Parivahan,99.00,103.00
Sodhani Acad of Fin,270.90,270.90
Company,PriceRs.,Day LowRs.
Swiggy,305.35,303.05
Praj Industries,455.00,444.20
K&R Rail Engineering,106.90,101.80
MK Exim India,58.17,55.00
Dr. Agarwal''s Health,353.20,351.85
Sterlite Technologie,58.80,58.80
Sheela Foam,663.20,638.00
Rikhav Securities,69.40,65.51
Rubfila Internatl.,64.15,61.38
Rajnish Retail,6.31,6.24
Kewal Kiran Clothing,438.00,428.50
IGC Industries,5.24,5.15
Uma Expo,70.44,70.10
Network People Ser,2281.00,2254.25
Gensol Engineering,74.20,74.20
